typeID,groupID,typeName,description,mass,volume,capacity,portionSize,raceID,basePrice,marketGroupID,iconID,graphicID
3293,12,Medium Standard Container,"A standard cargo container, used for common freight.",100000,325,390,1,None,12000,1657,1175,1175
3296,12,Large Standard Container,"A standard cargo container, used for common freight.",1000000,650,780,1,None,27000,1657,1174,1174
3297,12,Small Standard Container,"A standard cargo container, used for common freight.",10000,100,120,1,None,4400,1657,16,1176
34,18,Tritanium,"The main building block in space structures. A very hard, yet bendable metal. Cannot be used in human habitats due to its instability at atmospheric temperatures. Very common throughout the universe.

May be obtained by reprocessing the following ores:

<color='0xFFFF0000'>0.0</color> security status solar system or lower:
<a href=showinfo:22>Arkonor</a>, <a href=showinfo:17425>Crimson Arkonor</a>, <a href=showinfo:17426>Prime Arkonor</a>
<a href=showinfo:1225>Crokite</a>, <a href=showinfo:17432>Sharp Crokite</a>, <a href=showinfo:17433>Crystalline Crokite</a>
<a href=showinfo:1232>Dark Ochre</a>, <a href=showinfo:17436>Onyx Ochre</a>, <a href=showinfo:17437>Obsidian Ochre</a>
<a href=showinfo:19>Spodumain</a>, <a href=showinfo:17466>Bright Spodumain</a>, <a href=showinfo:17467>Gleaming Spodumain</a>

<color='0xFFFF4D00'>0.2</color> security status solar system or lower:
<a href=showinfo:1231>Hemorphite</a>, <a href=showinfo:17444>Vivid Hemorphite</a>, <a href=showinfo:17445>Radiant Hemorphite</a>

<color='0xFF00FF00'>0.7</color> security status solar system or lower:
<a href=showinfo:20>Kernite</a>, <a href=showinfo:17452>Luminous Kernite</a>, <a href=showinfo:17453>Fiery Kernite</a>
<a href=showinfo:1227>Omber</a>, <a href=showinfo:17867>Silvery Omber</a>, <a href=showinfo:17868>Golden Omber</a>

<color='0xFF4DFFCC'>0.9</color> security status solar system or lower:
<a href=showinfo:18>Plagioclase</a>, <a href=showinfo:17455>Azure Plagioclase</a>, <a href=showinfo:17456>Rich Plagioclase</a>
<a href=showinfo:1224>Pyroxeres</a>, <a href=showinfo:17459>Solid Pyroxeres</a>, <a href=showinfo:17460>Viscous Pyroxeres</a>

<color='0xFF33FFFF'>1.0</color> security status solar system or lower:
<a href=showinfo:1228>Scordite</a>, <a href=showinfo:17463>Condensed Scordite</a>, <a href=showinfo:17464>Massive Scordite</a>
<a href=showinfo:1230>Veldspar</a>, <a href=showinfo:17470>Concentrated Veldspar</a>, <a href=showinfo:17471>Dense Veldspar</a>",0,0.01,0,1,None,2,1857,22,0
35,18,Pyerite,"A soft crystal-like mineral with a very distinguishing orange glow as if on fire. Used as conduit and in the bio-chemical industry. Commonly found in many asteroid-ore types.

May be obtained by reprocessing the following ores:

<color='0xFFFF0000'>0.0</color> security status solar system or lower:
<a href=showinfo:1223>Bistot</a>, <a href=showinfo:17429>Monoclinic Bistot</a>, <a href=showinfo:17428>Triclinic Bistot</a>
<a href=showinfo:1229>Gneiss</a>, <a href=showinfo:17865>Iridescent Gneiss</a>, <a href=showinfo:17866>Prismatic Gneiss</a>
<a href=showinfo:19>Spodumain</a>, <a href=showinfo:17466>Bright Spodumain</a>, <a href=showinfo:17467>Gleaming Spodumain</a>

<color='0xFFFF4D00'>0.2</color> security status solar system or lower:
<a href=showinfo:21>Hedbergite</a>, <a href=showinfo:17440>Vitric Hedbergite</a>, <a href=showinfo:17441>Glazed Hedbergite</a>

<color='0xFF00FF00'>0.7</color> security status solar system or lower:
<a href=showinfo:1227>Omber</a>, <a href=showinfo:17867>Silvery Omber</a>, <a href=showinfo:17868>Golden Omber</a>

<color='0xFF4DFFCC'>0.9</color> security status solar system or lower:
<a href=showinfo:18>Plagioclase</a>, <a href=showinfo:17455>Azure Plagioclase</a>, <a href=showinfo:17456>Rich Plagioclase</a>
<a href=showinfo:1224>Pyroxeres</a>, <a href=showinfo:17459>Solid Pyroxeres</a>, <a href=showinfo:17460>Viscous Pyroxeres</a>

<color='0xFF33FFFF'>1.0</color> security status solar system or lower:
<a href=showinfo:1228>Scordite</a>, <a href=showinfo:17463>Condensed Scordite</a>, <a href=showinfo:17464>Massive Scordite</a>",0,0.01,0,1,None,8,1857,400,0
36,18,Mexallon,"Very flexible metallic mineral, dull to bright silvery green in color. Can be mixed with tritanium to make extremely hard alloys or it can be used by itself for various purposes. Fairly common in most regions.

May be obtained by reprocessing the following ores:

<color='0xFFFF0000'>0.0</color> security status solar system or lower:
<a href=showinfo:1229>Gneiss</a>, <a href=showinfo:17865>Iridescent Gneiss</a>, <a href=showinfo:17866>Prismatic Gneiss</a>
<a href=showinfo:19>Spodumain</a>, <a href=showinfo:17466>Bright Spodumain</a>, <a href=showinfo:17467>Gleaming Spodumain</a>

<color='0xFFE58000'>0.4</color> security status solar system or lower:
<a href=showinfo:1226>Jaspet</a>, <a href=showinfo:17448>Pure Jaspet</a>, <a href=showinfo:17449>Pristine Jaspet</a>

<color='0xFF00FF00'>0.7</color> security status solar system or lower:
<a href=showinfo:20>Kernite</a>, <a href=showinfo:17452>Luminous Kernite</a>, <a href=showinfo:17453>Fiery Kernite</a>

<color='0xFF4DFFCC'>0.9</color> security status solar system or lower:
<a href=showinfo:18>Plagioclase</a>, <a href=showinfo:17455>Azure Plagioclase</a>, <a href=showinfo:17456>Rich Plagioclase</a>
<a href=showinfo:1224>Pyroxeres</a>, <a href=showinfo:17459>Solid Pyroxeres</a>, <a href=showinfo:17460>Viscous Pyroxeres</a>",0,0.01,0,1,None,32,1857,401,0
37,18,Isogen,"Light-bluish crystal, formed by intense pressure deep within large asteroids and moons. Used in electronic and weapon manufacturing. Only found in abundance in a few areas.

May be obtained by reprocessing the following ores:

<color='0xFFFF0000'>0.0</color> security status solar system or lower:
<a href=showinfo:1232>Dark Ochre</a>, <a href=showinfo:17436>Onyx Ochre</a>, <a href=showinfo:17437>Obsidian Ochre</a>
<a href=showinfo:1229>Gneiss</a>, <a href=showinfo:17865>Iridescent Gneiss</a>, <a href=showinfo:17866>Prismatic Gneiss</a>
<a href=showinfo:19>Spodumain</a>, <a href=showinfo:17466>Bright Spodumain</a>, <a href=showinfo:17467>Gleaming Spodumain</a>

<color='0xFFFF4D00'>0.2</color> security status solar system or lower:
<a href=showinfo:21>Hedbergite</a>, <a href=showinfo:17440>Vitric Hedbergite</a>, <a href=showinfo:17441>Glazed Hedbergite</a>
<a href=showinfo:1231>Hemorphite</a>, <a href=showinfo:17444>Vivid Hemorphite</a>, <a href=showinfo:17445>Radiant Hemorphite</a>

<color='0xFF00FF00'>0.7</color> security status solar system or lower:
<a href=showinfo:20>Kernite</a>, <a href=showinfo:17452>Luminous Kernite</a>, <a href=showinfo:17453>Fiery Kernite</a>
<a href=showinfo:1227>Omber</a>, <a href=showinfo:17867>Silvery Omber</a>, <a href=showinfo:17868>Golden Omber</a>",0,0.01,0,1,None,128,1857,402,0
38,18,Nocxium,"A highly volatile mineral only formed during supernovas, thus severely limiting the extent of its distribution. Vital ingredient in capsule production, making it very coveted.

May be obtained by reprocessing the following ores:

<color='0xFFFF0000'>0.0</color> security status solar system or lower:
<a href=showinfo:1225>Crokite</a>, <a href=showinfo:17432>Sharp Crokite</a>, <a href=showinfo:17433>Crystalline Crokite</a>
<a href=showinfo:1232>Dark Ochre</a>, <a href=showinfo:17436>Onyx Ochre</a>, <a href=showinfo:17437>Obsidian Ochre</a>

<color='0xFFFF4D00'>0.2</color> security status solar system or lower:
<a href=showinfo:21>Hedbergite</a>, <a href=showinfo:17440>Vitric Hedbergite</a>, <a href=showinfo:17441>Glazed Hedbergite</a>
<a href=showinfo:1231>Hemorphite</a>, <a href=showinfo:17444>Vivid Hemorphite</a>, <a href=showinfo:17445>Radiant Hemorphite</a>

<color='0xFFE58000'>0.4</color> security status solar system or lower:
<a href=showinfo:1226>Jaspet</a>, <a href=showinfo:17448>Pure Jaspet</a>, <a href=showinfo:17449>Pristine Jaspet</a>

<color='0xFF4DFFCC'>0.9</color> security status solar system or lower:
<a href=showinfo:1224>Pyroxeres</a>, <a href=showinfo:17459>Solid Pyroxeres</a>, <a href=showinfo:17460>Viscous Pyroxeres</a>",0,0.01,0,1,None,512,1857,1201,0
39,18,Zydrine,"Only found in huge geodes; rocks on the outside with crystal-like quartz on the inside. The rarest and most precious of these geodes are those that contain the dark green zydrine within. Very rare and very expensive.

May be obtained by reprocessing the following ores:

<color='0xFFFF0000'>0.0</color> security status solar system or lower:
<a href=showinfo:1223>Bistot</a>, <a href=showinfo:17429>Monoclinic Bistot</a>, <a href=showinfo:17428>Triclinic Bistot</a>
<a href=showinfo:1225>Crokite</a>, <a href=showinfo:17432>Sharp Crokite</a>, <a href=showinfo:17433>Crystalline Crokite</a>

<color='0xFFFF4D00'>0.2</color> security status solar system or lower:
<a href=showinfo:21>Hedbergite</a>, <a href=showinfo:17440>Vitric Hedbergite</a>, <a href=showinfo:17441>Glazed Hedbergite</a>
<a href=showinfo:1231>Hemorphite</a>, <a href=showinfo:17444>Vivid Hemorphite</a>, <a href=showinfo:17445>Radiant Hemorphite</a>

<color='0xFFE58000'>0.4</color> security status solar system or lower:
<a href=showinfo:1226>Jaspet</a>, <a href=showinfo:17448>Pure Jaspet</a>, <a href=showinfo:17449>Pristine Jaspet</a>",0,0.01,0,1,None,2048,1857,404,0
40,18,Megacyte,"An extremely rare mineral found in comets and very occasionally in asteroids that have traveled through gas clouds. Has unique explosive traits that make it very valuable in the armaments industry.

May be obtained by reprocessing the following ores:

<color='0xFFFF0000'>0.0</color> security status solar system or lower:
<a href=showinfo:22>Arkonor</a>, <a href=showinfo:17425>Crimson Arkonor</a>, <a href=showinfo:17426>Prime Arkonor</a>
<a href=showinfo:1223>Bistot</a>, <a href=showinfo:17429>Monoclinic Bistot</a>, <a href=showinfo:17428>Triclinic Bistot</a>",0,0.01,0,1,None,8192,1857,405,0
